,FL,fuel1,ROC [ft/min],fuel2,ROD [ft/min],fuel3,TAS-MS
9,100,40.3,2750,104.1,1680,8.4,148.67478804839905
10,120,47.8,2670,99.4,2310,8.1,183.14264548522513
11,140,47.6,2490,94.6,2340,7.9,188.28710181907977
12,160,47.5,2310,89.8,2370,7.7,193.94600378631986
13,180,47.3,2130,85.1,2400,7.5,199.60490575355996
14,200,47.1,1940,80.5,2740,7.3,205.77825335418552
15,220,46.9,1740,76.0,2760,7.1,211.95160095481108
16,240,46.6,1550,71.6,2770,6.9,218.63939418882214
17,260,46.4,1350,67.2,2780,6.7,225.32718742283316
18,280,46.1,1150,62.9,2790,6.5,232.52942629022965
19,300,45.1,1360,58.6,3830,6.3,236.1305457239279
20,320,43.0,1170,54.5,3620,6.1,234.07276319038604
21,340,41.3,970,50.4,3430,5.8,232.0149806568442
22,360,40.0,750,46.3,3270,5.6,229.95719812330233
23,380,39.0,470,42.4,2910,5.4,229.95719812330233
24,400,38.3,240,38.5,2840,5.2,229.95719812330233
