FL;TAS [kts];fuel (cruise) [kg/min];ROC [ft/min];fuel (climb) [kg/min];ROD [ft/min];fuel (descent) [kg/min]
100;289;40.3;2750;104.1;1680;8.40
120;356;47.8;2670;99.4;2310;8.10
140;366;47.6;2490;94.6;2340;7.90
160;377;47.5;2310;89.8;2370;7.70
180;388;47.3;2130;85.1;2400;7.50
200;400;47.1;1940;80.5;2740;7.30
220;412;46.9;1740;76;2760;7.10
240;425;46.6;1550;71.6;2770;6.90
260;438;46.4;1350;67.2;2780;6.70
280;452;46.1;1150;62.9;2790;6.50
300;459;45.1;1360;58.6;3830;6.30
320;455;43;1170;54.5;3620;6.10
340;451;41.3;970;50.4;3430;5.80
360;447;40;750;46.3;3270;5.60
380;447;39;470;42.4;2910;5.40
400;447;38.3;240;38.5;2840;5.20
